placa;marca;modelo;tipo;color;trasnmision;capacidad;estado;sede
FDZ543;honda;civic;económico;gris;manual;5;disponible;Sede occidente
BHN378;chevrolet;equinox;suv;plateado;automatico;7;disponible;Sede occidente
ZXC879;audi;a3;lujo;dorado;automatico;5;disponible;Sede occidente
RTY906;bmw;x3;todoterreno;azul oscuro;automatico;5;disponible;Sede occidente
LKP456;hyundai;sonata;económico;amarillo;manual;5;disponible;Sede occidente
XSW234;mercedes-benz;gle;lujo;negro;automatico;7;disponible;Sede sur
PLO789;kia;sedona;van;rojo cereza;automatico;8;disponible;Sede sur
TGF123;jeep;wrangler;todoterreno;naranja;manual;5;disponible;Sede sur
UJI654;lexus;ls;lujo;perlado;automatico;5;disponible;Sede sur
WER890;dodge;caravan;van;verde oscuro;automatico;8;disponible;Sede sur
CVV701;mazda;3;pequeño;azul;manual;5;limpieza;Sede sur
JLK872;volkswagen;voyage;pequeño;rojo;automatico;5;limpieza;Sede occidente
LMO223;toyota;rav4;todoterreno;blanco;automatico;5;reservado;Sede norte
EBS342;nissan;kicks;suv;negro;manual;7;disponible;Sede norte
RGT561;ford;fiesta;económico;verde;manual;5;disponible;Sede norte
